time_s,altitude_agl_ft,altitude_agl_smooth_ft,vertical_velocity_ft_s,horizontal_velocity_ft_s,acceleration_ft_s2,velocity_dr_ft_s,velocity_cr_ft_s,apo_fired,main_fired,descent_rate_ft_s,descent_rate_from_alt_ft_s,descent_rate_from_alt_smoothed_ft_s,altitude_asl_ft,baro_press_atm,inertial_altitude_ft,tilt_angle_deg,future_angle_deg,roll_angle_deg
86.38,17407.2,17414.879833333332,-266.0,110.98198051936178,99.99999999991269,94.0,-59.0,1,0,266.0,119.48333333339542,122.02387500000002,19359.8,0.472,25986.0,124.9,0.0,-31128.0
86.4,17407.2,17412.528333333332,-262.0,106.78014796768171,224.99999999998272,89.0,-59.0,1,0,262.0,117.57500000006985,122.03481249999992,19359.8,0.472,25981.0,126.3,0.0,-31174.0
86.42,17342.2,17410.17683333333,-257.0,102.9271587094485,225.00000000004457,87.0,-55.0,1,0,257.0,118.66666666668607,122.02647916666649,19294.9,0.4733,25975.0,128.3,0.0,-31220.0
86.44,17342.2,17407.781666666666,-253.0,102.47438704378767,75.00000000001455,90.0,-49.0,1,0,253.0,119.7583333334187,122.01049305555547,19294.9,0.4733,25970.0,130.4,0.0,-31265.0
86.46,17482.5,17405.386499999997,-254.0,105.60303025955268,-124.99999999992724,96.0,-44.0,1,0,254.0,125.40833333320916,121.98678472222217,19435.1,0.4705,25965.0,131.6,0.0,-31311.0
86.48,17482.5,17402.765333333336,-258.0,111.08555261599052,-249.99999999999636,102.0,-44.0,1,0,258.0,131.05833333329065,121.9891805555556,19435.1,0.4705,25960.0,131.7,0.0,-31357.0
86.5,17427.5,17400.144166666665,-264.0,114.54256850621083,-250.00000000005002,104.0,-48.0,1,0,264.0,125.65416666679084,122.01760416666667,19380.2,0.4716,25955.0,130.8,0.0,-31403.0
86.52,17427.5,17397.739166666666,-268.0,114.5294721894762,-75.0000000000773,101.0,-54.0,1,0,268.0,120.24999999994179,122.0437083333333,19380.2,0.4716,25950.0,129.3,0.0,-31449.0
86.54,17290.5,17395.334166666667,-267.0,111.30588483993108,125.00000000003365,95.0,-58.0,1,0,267.0,115.76249999995343,122.06756944444437,19243.2,0.4743,25944.0,128.1,0.0,-31495.0
86.56,17290.5,17393.108666666667,-263.0,105.39449701004318,225.00000000004457,88.0,-58.0,1,0,263.0,111.27500000002328,122.06300694444411,19243.2,0.4743,25939.0,127.5,0.0,-31541.0
86.58,17391.9,17390.883166666667,-258.0,101.54801819828883,200.0000000000391,86.0,-54.0,1,0,258.0,118.47083333332557,122.03002083333297,19344.6,0.4723,25934.0,127.4,0.0,-31587.0
86.6,17391.9,17388.369833333334,-255.0,102.47438704378767,25.000000000084583,90.0,-49.0,1,0,255.0,125.66666666668607,122.01240277777765,19344.6,0.4723,25929.0,127.4,0.0,-31633.0
