time_s,altitude_agl_ft,altitude_agl_smooth_ft,descent_rate_from_alt_ft_s,descent_rate_smoothed_ft_s,descent_rate_time_smoothed_ft_s,velocity_up_ft_s,time_plot_descent_rate_ft_s,time_plot_descent_rate_smoothed_ft_s
70.64,19410.1,19262.665346534654,78.24257425736869,72.4261926192621,88.01513552996587,-3.0,78.24257425736869,88.01513552996587
70.66,19382.9,19261.38910891089,62.475247524736915,72.52431046676273,87.95142833957537,-3.0,62.475247524736915,87.95142833957537
70.68,19382.9,19260.166336633665,43.46534653467825,72.39447628973734,87.89096737544729,-3.0,43.46534653467825,87.89096737544729
70.7,19385.1,19259.650495049504,23.0940594059648,72.12743257084492,87.84234161123244,-3.0,23.0940594059648,87.84234161123244
70.72,19385.1,19259.242574257427,24.4059405940352,72.88323659952309,87.80555104693083,-3.0,24.4059405940352,87.80555104693083
70.74,19357.9,19258.674257425744,29.777227722806856,73.19221577330208,87.79574473843132,-3.0,29.777227722806856,87.79574473843132
70.76,19357.9,19258.051485148513,31.955445544503164,73.17343803345736,87.80291348809324,-2.0,31.955445544503164,87.80291348809324
70.78,19322.1,19257.396039603962,28.46534653462004,73.19136223967031,87.81414002058277,-2.0,28.46534653462004,87.81414002058277
70.8,19322.1,19256.912871287128,29.777227722806856,73.0710139979492,87.82671914734817,-2.0,29.777227722806856,87.82671914734817
70.82,19332.9,19256.20495049505,35.39603960386012,72.8593376578998,87.83747227184135,-2.0,35.39603960386012,87.83747227184135
70.84,19332.9,19255.497029702972,45.04950495052617,72.80983270740373,87.83733701241432,-2.0,45.04950495052617,87.83733701241432
70.86,19266.8,19254.40297029703,49.059405940643046,73.03345851826076,87.82868040904951,-2.0,49.059405940643046,87.82868040904951
70.88,19266.8,19253.534653465347,66.63366336631589,74.0628200751069,87.82408158851202,-2.0,66.63366336631589,87.82408158851202
70.9,19252.7,19251.737623762376,85.5940594059648,75.77756913622103,87.81955039768818,-2.0,85.5940594059648,87.81955039768818
70.92,19252.7,19250.11089108911,104.48019801982446,77.92719358142269,87.81508683657803,-2.0,104.48019801982446,87.81508683657803
70.94,19236.5,19247.558415841584,122.25247524748556,80.64100375554447,87.81292268573678,-2.0,122.25247524748556,87.81292268573678
70.96,19236.5,19245.22079207921,128.31683168315794,83.22422328439505,87.82563707192955,-2.0,128.31683168315794,87.82563707192955
